RowNumber,LeadId,Surname,months_since_lead_gen,lead_gen_channel,Gender,Age,City,airline_loyalty_tier,no_of_family_members,is_6M_enquiry,is_3M_active,Converted_y_N
1,15634602,Hargrave,4,Networks,Female,42,Bangalore,None,1,1,1,1
2,15647311,Hill,4,Organic,Female,41,Hyderabad,None,1,1,0,0
3,15619304,Onio,3,Networks,Female,42,Mumbai,Platinum,3,0,1,1
4,15701354,Boni,4,Networks,Female,39,Hyderabad,None,2,0,0,0
5,15737888,Mitchell,6,Organic,Female,43,Bangalore,Base,1,1,1,0
6,15574012,Chu,4,Organic,Male,44,Mumbai,Base,2,0,1,1
7,15592531,Bartlett,6,Networks,Male,50,Surat,None,2,1,1,0
8,15656148,Obinna,1,Direct,Female,29,Delhi,Base,4,0,1,1
9,15792365,He,3,Networks,Male,44,Delhi,Silver,2,1,0,0
10,15592389,H?,4,Networks,Male,27,Bangalore,Silver,1,1,1,0
11,15767821,Bearce,3,Networks,Male,31,New Delhi,None,2,0,0,0
12,15737173,Andrews,2,Organic,Male,24,Chandigarh,None,2,0,1,0
13,15632264,Kay,2,Networks,Female,34,Cochin,None,2,0,1,0
14,15691483,Chin,3,Networks,Female,25,Chennai,None,2,0,0,0
15,15600882,Scott,4,Organic,Female,35,Surat,None,2,1,1,0
16,15643966,Goforth,4,Direct,Male,45,Chandigarh,Silver,2,1,0,0
17,15737452,Romeo,4,Direct,Male,58,Hyderabad,Silver,1,0,1,1
18,15788218,Henderson,3,Organic,Female,24,Ahmedabad,None,2,1,1,0
19,15661507,Muldrow,3,Organic,Male,45,New Delhi,None,1,0,0,0
20,15568982,Hao,5,Networks,Female,24,New Delhi,None,2,1,1,0
21,15577657,McDonald,5,Networks,Male,41,Mumbai,None,2,1,1,0
22,15597945,Dellucci,4,Organic,Female,32,Mumbai,None,2,0,1,0
23,15699309,Gerasimov,3,Organic,Female,38,Delhi,None,1,0,1,1
24,15725737,Mosman,4,Networks,Male,46,Chandigarh,None,2,1,0,0
25,15625047,Yen,6,Networks,Female,38,Chennai,None,1,1,1,0
26,15738191,Maclean,3,Networks,Male,25,Chandigarh,None,2,1,0,0
27,15736816,Young,5,Direct,Male,36,Bangalore,Silver,1,1,1,0
28,15700772,Nebechi,3,Networks,Male,44,Ahmedabad,None,2,0,0,0
29,15728693,McWilliams,3,Direct,Female,43,Chandigarh,Silver,1,1,1,0
30,15656300,Lucciano,2,Networks,Male,29,Kolkata,None,2,1,1,0
31,15589475,Azikiwe,3,Organic,Female,39,Chandigarh,None,3,0,1,1
32,15706552,Odinakachukwu,3,Networks,Male,36,Surat,None,1,1,0,0
33,15750181,Sanderson,3,Direct,Male,41,Ahmedabad,Base,2,0,0,0
34,15659428,Maggard,3,Organic,Female,42,New Delhi,None,2,1,1,0
35,15732963,Clements,5,Organic,Female,29,Ahmedabad,None,2,1,1,0
36,15794171,Lombardo,2,Networks,Female,45,Kolkata,Silver,1,0,1,1
37,15788448,Watson,2,Organic,Male,31,Chandigarh,Silver,1,1,0,0
38,15729599,Lorenzo,6,Organic,Male,33,Surat,None,1,1,0,0
39,15717426,Armstrong,6,Networks,Male,36,Surat,None,1,1,1,0
40,15585768,Cameron,3,Direct,Male,41,New Delhi,None,2,1,0,0
41,15619360,Hsiao,2,Organic,Male,40,Delhi,None,1,0,1,0
42,15738148,Clarke,2,Networks,Female,51,Mumbai,Base,1,0,0,1
43,15687946,Osborne,3,Networks,Female,61,Bangalore,Base,1,1,1,0
44,15755196,Lavine,6,Networks,Female,49,Bangalore,Silver,1,0,0,1
45,15684171,Bianchi,4,Organic,Female,61,Chennai,Gold,1,1,1,0
46,15754849,Tyler,5,Direct,Female,32,Delhi,Base,2,1,1,0
47,15602280,Martin,6,Direct,Female,27,Ahmedabad,Base,1,1,1,1
48,15771573,Okagbue,4,Direct,Female,39,Ahmedabad,Silver,1,1,1,1
49,15766205,Yin,3,Direct,Male,38,Bangalore,None,1,1,0,0
50,15771873,Buccho,5,Direct,Female,37,Bangalore,None,2,0,1,0
51,15616550,Chidiebele,4,Direct,Male,44,Cochin,Base,2,0,1,0
52,15768193,Trevisani,3,Direct,Male,36,Chennai,Silver,2,0,0,0
53,15683553,O'Brien,5,Networks,Female,33,Chennai,None,2,0,0,0
54,15702298,Parkhill,4,Direct,Male,41,Mumbai,Base,1,0,0,1
55,15569590,Yoo,4,Direct,Male,42,Hyderabad,None,1,0,1,1
56,15760861,Phillipps,4,Networks,Male,43,Hyderabad,Base,1,1,1,0
57,15630053,Tsao,4,Networks,Male,45,Chennai,Silver,1,0,1,0
58,15647091,Endrizzi,5,Direct,Male,19,Kolkata,None,1,0,0,0
59,15623944,T'ien,3,Organic,Female,66,Delhi,None,1,0,1,1
60,15804771,Velazquez,4,Networks,Male,51,Delhi,None,1,1,1,0
61,15651280,Hunter,5,Direct,Male,35,Chennai,Silver,1,0,0,0
62,15773469,Clark,4,Direct,Female,27,Ahmedabad,Gold,2,0,0,0
63,15702014,Jeffrey,3,Organic,Male,33,Hyderabad,None,2,0,0,0
64,15751208,Pirozzi,4,Organic,Male,56,Mumbai,None,1,1,1,0
65,15592461,Jackson,4,Direct,Male,26,Delhi,Base,1,1,1,0
66,15789484,Hammond,5,Direct,Female,36,New Delhi,Platinum,2,1,1,0
67,15696061,Brownless,3,Direct,Female,34,Hyderabad,None,1,0,1,0
68,15641582,Chibugo,5,Direct,Male,43,Cochin,Base,2,1,1,0
69,15638424,Glauert,4,Direct,Female,35,Chennai,Gold,2,1,0,0
70,15755648,Pisano,4,Networks,Female,21,Mumbai,None,1,0,1,0
71,15703793,Konovalova,5,Direct,Male,58,Bangalore,Silver,4,0,1,1
72,15620344,McKee,6,Networks,Male,29,New Delhi,None,1,0,1,0
73,15812518,Palermo,4,Organic,Female,37,Kolkata,Platinum,1,1,0,0
74,15779052,Ballard,4,Direct,Female,25,Chennai,Gold,2,1,1,0
75,15770811,Wallace,3,Networks,Male,36,Ahmedabad,None,2,1,0,0
76,15780961,Cavenagh,5,Networks,Female,21,Hyderabad,Platinum,2,0,1,0
77,15614049,Hu,4,Networks,Male,55,Mumbai,None,2,1,1,0
78,15662085,Read,4,Networks,Female,32,Ahmedabad,None,1,1,1,0
79,15575185,Bushell,5,Organic,Male,33,Chennai,None,1,1,0,0
80,15803136,Postle,2,Direct,Female,41,Cochin,Base,2,0,1,0
81,15706021,Buley,4,Networks,Female,34,Hyderabad,None,2,0,0,0
82,15663706,Leonard,5,Networks,Female,32,Bangalore,None,1,0,1,1
83,15641732,Mills,3,Networks,Female,36,Chandigarh,None,2,0,0,0
84,15701164,Onyeorulu,3,Networks,Female,34,Delhi,None,1,1,1,0
85,15738751,Beit,2,Networks,Female,46,Delhi,None,2,0,1,0
86,15805254,Ndukaku,4,Organic,Female,75,Cochin,None,2,1,1,0
87,15762418,Gant,5,Organic,Male,22,Chandigarh,Base,1,0,1,1
88,15625759,Rowley,5,Networks,Male,30,Ahmedabad,None,2,0,1,0
89,15622897,Sharpe,4,Networks,Female,46,Delhi,None,3,0,1,1
90,15767954,Osborne,4,Direct,Female,28,Chandigarh,None,2,1,1,0
91,15757535,Heap,4,Organic,Female,44,Chennai,None,3,1,1,1
